timestamp,sensor1,sensor2,is_anomaly
2025-01-01 00:00:00,-0.0368,0.8018,0
2025-01-01 00:01:00,-0.1737,0.8499,0
2025-01-01 00:02:00,0.1592,1.089,0
2025-01-01 00:03:00,-0.2584,1.1105,0
2025-01-01 00:04:00,0.1897,0.9452,0
2025-01-01 00:05:00,0.2622,1.0628,0
2025-01-01 00:06:00,0.4682,1.1311,0
2025-01-01 00:07:00,0.5534,1.168,0
2025-01-01 00:08:00,0.3063,0.9613,0
2025-01-01 00:09:00,0.4242,0.7521,0
2025-01-01 00:10:00,0.3472,0.896,0
2025-01-01 00:11:00,0.3194,0.9309,0
2025-01-01 00:12:00,0.6502,0.9426,0
2025-01-01 00:13:00,0.375,0.9443,0
2025-01-01 00:14:00,0.5867,1.0691,0
2025-01-01 00:15:00,0.5085,1.0784,0
2025-01-01 00:16:00,0.8535,0.9271,0
2025-01-01 00:17:00,1.1379,1.047,0
2025-01-01 00:18:00,0.5492,0.9654,0
2025-01-01 00:19:00,0.4685,0.9282,0
2025-01-01 00:20:00,0.8415,1.0041,0
2025-01-01 00:21:00,0.8946,0.9119,0
2025-01-01 00:22:00,0.9577,1.1013,0
2025-01-01 00:23:00,0.8447,0.7422,0
2025-01-01 00:24:00,0.9113,0.8246,0
2025-01-01 00:25:00,1.0397,0.8532,0
2025-01-01 00:26:00,1.1865,0.8991,0
2025-01-01 00:27:00,0.5969,0.9709,0
2025-01-01 00:28:00,0.9209,0.8302,0
2025-01-01 00:29:00,1.0415,0.6786,0
2025-01-01 00:30:00,0.8164,0.893,0
2025-01-01 00:31:00,1.3448,0.8717,0
2025-01-01 00:32:00,0.8673,0.5892,0
2025-01-01 00:33:00,0.9792,0.7698,0
2025-01-01 00:34:00,1.089,0.5976,0
2025-01-01 00:35:00,0.8473,0.6763,0
2025-01-01 00:36:00,0.5813,0.6383,0
2025-01-01 00:37:00,0.8473,0.7949,0
2025-01-01 00:38:00,1.1188,0.7109,0
2025-01-01 00:39:00,0.8229,0.5555,0
2025-01-01 00:40:00,0.6959,0.7566,0
2025-01-01 00:41:00,1.0228,0.5095,0
2025-01-01 00:42:00,0.7418,0.6699,0
2025-01-01 00:43:00,0.6739,0.5392,0
2025-01-01 00:44:00,0.7717,0.5674,0
2025-01-01 00:45:00,0.8599,0.6376,0
2025-01-01 00:46:00,1.144,0.6222,0
2025-01-01 00:47:00,0.7932,0.6864,0
2025-01-01 00:48:00,0.8181,0.5269,0
2025-01-01 00:49:00,0.4416,0.5479,0
2025-01-01 00:50:00,0.2929,0.4555,0
2025-01-01 00:51:00,0.4645,0.4992,0
2025-01-01 00:52:00,0.4261,0.5064,0
2025-01-01 00:53:00,0.1405,0.434,0
2025-01-01 00:54:00,0.2717,0.2446,0
2025-01-01 00:55:00,0.3364,0.439,0
2025-01-01 00:56:00,0.2776,0.4231,0
2025-01-01 00:57:00,0.2548,0.2992,0
2025-01-01 00:58:00,0.1602,0.2192,0
2025-01-01 00:59:00,-0.0516,0.4755,0
2025-01-01 01:00:00,-0.1054,0.3572,0
2025-01-01 01:01:00,-0.2948,0.2651,0
2025-01-01 01:02:00,0.2497,0.1542,0
2025-01-01 01:03:00,-0.1565,0.1654,0
2025-01-01 01:04:00,-0.2556,0.3575,0
2025-01-01 01:05:00,-0.4473,0.2206,0
2025-01-01 01:06:00,0.2754,0.1312,0
2025-01-01 01:07:00,-0.5758,0.2166,0
2025-01-01 01:08:00,-0.4952,0.0635,0
2025-01-01 01:09:00,-0.3735,0.2742,0
2025-01-01 01:10:00,-0.3826,0.2386,0
2025-01-01 01:11:00,-0.3557,0.0358,0
2025-01-01 01:12:00,-0.2288,-0.0013,0
2025-01-01 01:13:00,-0.5306,-0.2212,0
2025-01-01 01:14:00,-0.8827,-0.1285,0
2025-01-01 01:15:00,-0.7608,-0.1353,0
2025-01-01 01:16:00,-0.6838,-0.0088,0
2025-01-01 01:17:00,-0.3656,-0.0758,0
2025-01-01 01:18:00,-1.0906,-0.1987,0
2025-01-01 01:19:00,-0.6,-0.1132,0
2025-01-01 01:20:00,-0.8318,-0.0554,0
2025-01-01 01:21:00,-0.725,-0.074,0
2025-01-01 01:22:00,-0.9354,-0.3375,0
2025-01-01 01:23:00,-1.1034,-0.181,0
2025-01-01 01:24:00,-0.802,-0.3272,0
